source,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating
city scrape,40.42422,-3.70715,Entire rental unit,Entire home/apt,2,1.0,1.0,85.0,2,45,4.85
city scrape,40.420864,-3.701991,Entire rental unit,Entire home/apt,3,1.0,1.0,91.0,2,365,4.85
previous scrape,40.40694,-3.70873,Private room in rental unit,Private room,2,1.0,2.0,60.0,2,1125,4.33
previous scrape,40.39626,-3.6638,Private room in rental unit,Private room,2,1.0,2.0,18.0,2,7,5.0
city scrape,40.42282,-3.70077,Entire rental unit,Entire home/apt,3,1.0,2.0,155.0,4,90,4.97
city scrape,40.4106,-3.70601,Private room in rental unit,Private room,2,1.0,1.0,66.0,1,60,4.89
city scrape,40.4078,-3.68386,Entire place,Entire home/apt,4,1.0,3.0,82.0,2,90,4.89
previous scrape,40.39663,-3.69483,Private room in rental unit,Private room,2,1.0,1.0,16.0,20,35,4.0
city scrape,40.42849,-3.70101,Shared room in resort,Shared room,1,1.0,1.0,250.0,3,1125,0.0
previous scrape,40.46699,-3.7001,Entire rental unit,Entire home/apt,2,1.0,1.0,48.0,1,1125,3.5
city scrape,40.42192,-3.70263,Entire rental unit,Entire home/apt,2,1.0,1.0,141.0,2,30,5.0
previous scrape,40.41263,-3.70609,Private room in rental unit,Private room,2,1.0,1.0,20.0,3,1125,4.07
city scrape,40.42216,-3.70238,Entire rental unit,Entire home/apt,3,1.0,1.0,167.0,2,30,5.0
previous scrape,40.41283,-3.70749,Private room in rental unit,Private room,2,1.0,1.0,20.0,3,1125,4.18
previous scrape,40.41951,-3.69951,Private room,Private room,3,1.0,2.0,35.0,1,1125,4.0
previous scrape,40.41299,-3.70728,Private room in rental unit,Private room,2,1.0,1.0,20.0,3,1125,4.25
city scrape,40.42005,-3.70227,Entire rental unit,Entire home/apt,3,1.0,2.0,166.0,2,30,5.0
previous scrape,40.41253,-3.70695,Private room in rental unit,Private room,2,1.0,1.0,20.0,3,1125,4.12
previous scrape,40.41254,-3.7054,Private room in rental unit,Private room,1,1.0,1.0,20.0,3,1125,4.5
previous scrape,40.40859,-3.71218,Entire rental unit,Entire home/apt,7,2.0,3.0,139.0,1,1125,3.5
previous scrape,40.42181,-3.70035,Private room in condo,Private room,2,1.0,2.0,26.0,1,1125,3.0
previous scrape,40.40663,-3.73909,Private room in rental unit,Private room,1,1.0,1.0,22.0,1,1125,5.0
previous scrape,40.42182,-3.70032,Private room in rental unit,Private room,3,1.0,2.0,27.0,1,1125,4.67
city scrape,40.45427,-3.7165,Private room in rental unit,Private room,1,1.0,1.0,57.0,1,1125,4.89
city scrape,40.39182,-3.71708,Entire condo,Entire home/apt,5,2.0,4.0,199.0,1,1125,4.69
previous scrape,40.41382,-3.70541,Private room in rental unit,Private room,1,1.0,1.0,20.0,3,1125,4.47
previous scrape,40.41371,-3.70536,Private room in rental unit,Private room,1,1.0,1.0,20.0,3,1125,3.89
previous scrape,40.42849,-3.71684,Private room in rental unit,Private room,1,1.0,1.0,35.0,1,6,4.95
previous scrape,40.41248,-3.70735,Private room in rental unit,Private room,2,1.0,1.0,20.0,3,1125,4.42
previous scrape,40.4123,-3.70595,Private room in rental unit,Private room,2,1.0,1.0,20.0,3,1125,4.0
previous scrape,40.41271,-3.7071,Private room in rental unit,Private room,2,1.0,1.0,20.0,3,1125,4.14
previous scrape,40.41654,-3.70643,Entire rental unit,Entire home/apt,4,2.0,2.0,52.0,7,1125,4.5
previous scrape,40.40446,-3.67723,Entire rental unit,Entire home/apt,4,1.0,2.0,65.0,30,1124,4.81
city scrape,40.42433,-3.699,Entire rental unit,Entire home/apt,4,2.0,3.0,188.0,3,1125,4.8
previous scrape,40.42622,-3.63564,Entire rental unit,Entire home/apt,5,2.0,3.0,160.0,2,1125,5.0
previous scrape,40.37113,-3.6976,Shared room in home,Shared room,1,1.0,1.0,25.0,3,15,1.0
city scrape,40.40995,-3.70109,Entire rental unit,Entire home/apt,2,1.0,1.0,60.0,3,15,4.9
previous scrape,40.38655,-3.74674,Entire rental unit,Entire home/apt,4,2.0,2.0,75.0,2,1125,4.85
city scrape,40.4479,-3.67077,Private room in rental unit,Private room,2,1.0,1.0,34.0,3,1125,4.07
