index,source,latitude,longitude,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_rating,Entire home/apt,Hotel room,Private room,Shared room
1025,city scrape,40.41095,-3.71261,4,1.0,2.0,0.3972602739726027,5,1125,4.86,1.0,0.0,0.0,0.0
1026,city scrape,40.40456,-3.70482,2,1.0,2.0,0.09246575342465753,3,3,4.72,0.0,0.0,1.0,0.0
1027,city scrape,40.42396,-3.70366,1,1.0,1.0,0.11986301369863012,7,900,4.9,0.0,0.0,1.0,0.0
1028,city scrape,40.50088,-3.65595,4,2.0,3.0,0.3150684931506849,21,1125,5.0,1.0,0.0,0.0,0.0
1029,city scrape,40.47134,-3.66198,4,1.0,2.0,0.1678082191780822,2,1125,4.78,1.0,0.0,0.0,0.0
1030,city scrape,40.40697,-3.73305,3,1.0,1.0,0.2054794520547945,5,1125,4.65,1.0,0.0,0.0,0.0
1031,city scrape,40.42233276367188,-3.70681095123291,2,1.0,1.0,0.06164383561643835,1,1125,4.44,0.0,0.0,1.0,0.0
1032,previous scrape,40.433,-3.68458,2,1.0,1.0,0.2089041095890411,2,30,4.43,0.0,0.0,1.0,0.0
1033,previous scrape,40.42221,-3.69903,4,2.0,2.0,0.5993150684931506,2,32,4.79,1.0,0.0,0.0,0.0
1034,city scrape,40.40549,-3.70277,2,1.0,1.0,0.2602739726027397,3,1000,4.5,1.0,0.0,0.0,0.0
1035,previous scrape,40.431,-3.67715,2,1.0,1.0,0.04794520547945205,2,1125,4.98,0.0,0.0,1.0,0.0
1036,previous scrape,40.41932,-3.71102,3,2.0,2.0,0.1267123287671233,14,1125,5.0,1.0,0.0,0.0,0.0
1037,city scrape,40.45546,-3.69918,2,1.0,2.0,0.18835616438356162,2,1125,4.96,0.0,0.0,1.0,0.0
1038,previous scrape,40.42195,-3.70585,1,1.0,1.0,0.0410958904109589,1,1125,4.9,0.0,0.0,1.0,0.0
1039,city scrape,40.42488,-3.73147,6,5.0,5.0,0.40753424657534243,2,90,4.76,1.0,0.0,0.0,0.0
1040,city scrape,40.46089,-3.65824,4,2.0,3.0,0.2636986301369863,2,1125,4.57,1.0,0.0,0.0,0.0
1041,previous scrape,40.41845,-3.70206,2,1.0,1.0,0.07191780821917808,2,30,4.95,0.0,0.0,1.0,0.0
